Rubrique;Niveau;Matière;Code Matière;Coefficient;Max Score;Sous-matière;Code Sous-matière;Max Score Sous-matière
R1;1ère AF;Mathématiques;MATHEMA1AF;1;210.0;Opérations;OPERATIONS;30.0
R1;1ère AF;Mathématiques;MATHEMA1AF;1;210.0;Géométrie;GEOMETRIE;30.0
R1;1ère AF;Mathématiques;MATHEMA1AF;1;210.0;Mesures;MESURES;30.0
R1;1ère AF;Mathématiques;MATHEMA1AF;1;210.0;Résolution de problèmes;RESOLUTION;30.0
R1;1ère AF;Mathématiques;MATHEMA1AF;1;210.0;Éveil;EVEIL;30.0
R1;1ère AF;Mathématiques;MATHEMA1AF;1;210.0;Calcul Mental;CALCULMENT;30.0
R1;1ère AF;Mathématiques;MATHEMA1AF;1;210.0;Numération;NUMERATION;30.0
R1;1ère AF;Communication Française;COMMUNI1AF;1;210.0;Communication Orale/Exposés;COMMUNICAT;30.0
R1;1ère AF;Communication Française;COMMUNI1AF;1;210.0;Lecture;LECTURE;30.0
R1;1ère AF;Communication Française;COMMUNI1AF;1;210.0;Orthographe/Copie;ORTHOGRAPH;30.0
R1;1ère AF;Communication Française;COMMUNI1AF;1;210.0;Grammaire;GRAMMAIRE;30.0
R1;1ère AF;Communication Française;COMMUNI1AF;1;210.0;Conjugaison;CONJUGAISO;30.0
R1;1ère AF;Communication Française;COMMUNI1AF;1;210.0;Production d'écrits;PRODUCTION;30.0
R1;1ère AF;Communication Française;COMMUNI1AF;1;210.0;Vocabulaire;VOCABULAIR;30.0
R1;1ère AF;Communication Créole;COMMUN21AF;1;150.0;Communication Orale/Exposés;COMMUNICAT;30.0
R1;1ère AF;Communication Créole;COMMUN21AF;1;150.0;Lecture/Vocabulaire;LECTUREVOC;30.0
R1;1ère AF;Communication Créole;COMMUN21AF;1;150.0;Orthographe/Copie;ORTHOGRAPH;30.0
R1;1ère AF;Communication Créole;COMMUN21AF;1;150.0;Grammaire/Conjugaison;GRAMMAIREC;30.0
R1;1ère AF;Communication Créole;COMMUN21AF;1;150.0;Production d'écrits;PRODUCTION;30.0
R2;1ère AF;Sciences Sociales;SCIENCE1AF;1;60.0;Histoire Nationale;HISTOIRENA;30.0
R2;1ère AF;Sciences Sociales;SCIENCE1AF;1;60.0;Géographie d'Haïti;GEOGRAPHIE;30.0
R2;1ère AF;Sciences Sociales;SCIENCE1AF;1;60.0;Éducation à la Citoyenneté;EDUCATIONA;20.0
R2;1ère AF;TIC;TIC1AF;1;20.0;Informatique;INFORMATIQ;20.0
R2;1ère AF;Sciences Expérimentales;SCIENC21AF;1;80.0;Éducation à la Santé;EDUCATIONA;20.0
R2;1ère AF;Sciences Expérimentales;SCIENC21AF;1;80.0;Éducation à l'Environnement;EDUCATION2;20.0
R2;1ère AF;Sciences Expérimentales;SCIENC21AF;1;80.0;Éducation à la Technologie;EDUCATION3;20.0
R2;1ère AF;Sciences Expérimentales;SCIENC21AF;1;80.0;ETAP;ETAP;20.0
R3;1ère AF;Autres;AUTRES1AF;1;20.0;Écriture (motricité fine);ECRITUREMO;20.0
R3;1ère AF;Éducation Morale et Religieuse;EDUCATI1AF;1;10.0;Histoire Biblique;HISTOIREBI;10.0
